"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC","T_pumpB_out.T"
310,26.160329253561997,26.140320459760744,26.141859675862122,25.99435906433183,25.677097644825324,25.036241261862244,26.035381533273835
312,26.161774797805208,26.142050275966938,26.14356743408115,25.995823961061376,25.678293030243992,25.03631168009889,26.036576941410544
314,26.16319815441142,26.14375353873305,26.145248977131985,25.997266365447047,25.679470080495378,25.036380998063635,26.03775401400941
316,26.16459971348553,26.14543071483132,26.146904765844454,25.998686671993994,25.680629121192794,25.0364492339026,26.038913076690278
318,26.16597986513358,26.147082271034208,26.148535261049176,26.000085275207823,25.68177047795001,25.03651640576203,26.040054455073005
320,26.167338999460583,26.148708674114403,26.15014092357677,26.001462569594594,25.682894476380568,25.036582531788156,26.041178474777496
322,26.16867703734073,26.150309831019115,26.151721662269154,26.002818467073382,25.68400105538575,25.03664756779432,26.04228507470077
324,26.1699945307725,26.15188640166997,26.153278128402178,26.004153528650306,25.685090674001742,25.03671155343278,26.043374713888625
326,26.171291934445605,26.15343892989341,26.15481085878156,26.00546821525353,25.68616371106856,25.036774515428817,26.044447771189198
328,26.172569608734022,26.154967846966827,26.156320279234762,26.006762891409664,25.687220467127247,25.03683646861731,26.045504547148767
330,26.173827500847267,26.15647308875674,26.157806326629782,26.008037559716456,25.688260842293005,25.036897440114956,26.046544941879233
332,26.175066124661896,26.15795527092297,26.15926960875396,26.009292715426398,25.689285286437496,25.036957441775428,26.047569405261925
334,26.176285620849796,26.15941456588422,26.160710295645515,26.01052847751515,25.690293895135426,25.03701651740556,26.048578032879163
336,26.17748629500403,26.16085133963969,26.162128748676707,26.011745157788425,25.69128691654538,25.037074685469463,26.049571072894366
338,26.178668411267324,26.162265909536302,26.16352528113231,26.012943019588022,25.692264560476417,25.037131970800885,26.050548735122447
340,26.17983226121447,26.16365862432673,26.16490023728278,26.014122359561554,25.693227078529674,25.037188376244274,26.051511271168124
342,26.180978192525174,26.165029896997623,26.166254024774446,26.015283542477334,25.69417480778037,25.037243859670696,26.052459018106333
344,26.182106452878486,26.166380026046284,26.167586938293937,26.016426811686813,25.69510793295484,25.037298459111923,26.05339216067017
346,26.183217327509453,26.167709352967734,26.168899314951148,26.017552456140436,25.6960266959955,25.037352182494317,26.054310940806317
348,26.18431110165335,26.16901821925677,26.170191491855974,26.018660764789217,25.69693133884465,25.03740503774469,26.05521560046111
350,26.185388060545336,26.17030696640842,26.171463806118425,26.019752026583717,25.697822103444366,25.037457032789405,26.056106381581117
352,26.186448489421025,26.17157593591827,26.172716594848737,26.02082653047495,25.698699231737862,25.037508175555615,26.05698352611296
354,26.187492673515692,26.17282546928135,26.17395019515726,26.021884565413927,25.699562965667212,25.037558473969682,26.0578472760036
356,26.188520549305338,26.174055490277226,26.175164531859366,26.02292610171179,25.700413132408528,25.0376080815783,26.058697458438132
358,26.18953243724485,26.175266382584084,26.176359983700706,26.023951460497244,25.7012500157893,25.037656991603228,26.05953435724757
360,26.190528703599455,26.176458584748445,26.177536983583366,26.02496100475338,25.702073954117793,25.03770517813774,26.06035831074297
362,26.19150960472001,26.17763240366986,26.17869583447049,26.025954997041083,25.702885154984358,25.037752661169577,26.061169526519677
364,26.192475396957036,26.178788146247882,26.179836839325787,26.026933699920676,25.703683825980136,25.03779946068613,26.06196821217293
366,26.193426336661048,26.179926119381946,26.180960301112748,26.027897375953387,25.70447017469536,25.037845596674458,26.062754575298072
368,26.19436268018302,26.181046629972286,26.18206652279474,26.028846287699878,25.705244408721057,25.037891089122184,26.06352882349006
370,26.195284637328143,26.18214992853683,26.18315575172784,26.029780642446838,25.706006709615224,25.037935933306187,26.064291138311432
372,26.196192092210993,26.1832358710804,26.184227846166493,26.03070026071174,25.70675707677998,25.037979951597038,26.065041519164367
374,26.197085552320743,26.184305068710444,26.185283409108763,26.031605703291063,25.707495858265986,25.038023297309167,26.065780314106973
376,26.197965254781536,26.185357805037427,26.186322720547935,26.032497209913515,25.70822325091075,25.038065980222598,26.066507719981132
378,26.198831436717512,26.186394363671468,26.187346060478205,26.033375020307687,25.708939451551657,25.0381080101169,26.067223933628384
380,26.19968433525304,26.18741502822337,26.18835370889343,26.03423937420206,25.70964465702633,25.0381493967721,26.067929151890894
382,26.20052418751237,26.188420082303367,26.18934594578701,26.03509051132545,25.710339064172274,25.038190149968443,26.068623571610544
384,26.201351230619764,26.189409809522147,26.19032305115371,26.03592867140668,25.71102286982733,25.03823027948573,26.069307389629216
386,26.202165521429436,26.190384281489685,26.191285095637625,26.036753898359677,25.711696129719428,25.038269792458607,26.069980661679722
388,26.202967213559134,26.191343683611592,26.19223226225614,26.037566341205945,25.712358975319887,25.038308697441096,26.07064351923782
390,26.203756661142222,26.19228843710283,26.193164966886513,26.038366366772777,25.71301169505722,25.038347005930802,26.071296250735998
392,26.204534085215244,26.19321880665467,26.194083470840326,26.03915419731385,25.71365447317595,25.038384727471396,26.071939040423388
394,26.205299423951203,26.19413471669037,26.194987699461365,26.039929788360894,25.71428725324114,25.038421874858784,26.072571831859022
396,26.206052859890235,26.195036385592346,26.195877868337163,26.04069332586795,25.714910186741747,25.038458458079447,26.07319477653465
398,26.20679464700612,26.1959241176732,26.1967542778994,26.041445063146227,25.715523485947585,25.038494486298703,26.073808086725933
400,26.207524963873936,26.196798126545616,26.197617139026818,26.042185182411515,25.7161272989743,25.038529969548506,26.074411910551362
402,26.20824398906933,26.197658625822612,26.198466662597923,26.042913865879257,25.71672177393765,25.03856491786081,26.075006396129083
404,26.208951901167836,26.198505829117664,26.199303059491342,26.043631295765238,25.71730705895328,25.038599341267798,26.075591691577984
406,26.209648878744872,26.199339950043793,26.20012654058604,26.04433765428547,25.71788330213741,25.038633249801535,26.076167945016834
408,26.210335109854043,26.200161212683895,26.200937327119448,26.045033127666386,25.718450665657485,25.038666645836372,26.07673531861542
410,26.211010844352188,26.200969909391972,26.201735707880005,26.045717928289434,25.719009403311645,25.03869948181233,26.07729406617193
