"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","T_pumpB_out.T"
554,26.248505301895023,26.247019630067427,25.466159287953985,25.824537740979167
556,26.248591068676262,26.247114226505857,25.46620555020769,25.824584004159988
558,26.248675140836042,26.247206954006458,25.46625089749915,25.82462935236009
560,26.248757552152767,26.247297849832137,25.46629534801656,25.824673803767723
562,26.248838335807534,26.247386950587327,25.46633891962739,25.824717376251442
564,26.248917524403907,26.247474292239474,25.466381629889213,25.82476008736853
566,26.248995149988616,26.247559910141092,25.466423496060713,25.82480195437836
568,26.24907124407008,26.247643839052046,25.466464535112493,25.824842994251753
570,26.249145837639446,26.247726113160354,25.46650476373742,25.824883223681923
572,26.249218961190138,26.247806766105384,25.466544198362783,25.8249226590965
574,26.249290644737414,26.24788583099911,25.466582855159743,25.824961316666474
576,26.249360917838487,26.247963340447825,25.4666207500548,25.824999212319085
578,26.249429809612195,26.24803932657477,25.466657898740493,25.82503636174738
580,26.249497329989538,26.248113799976466,25.46669430921446,25.825072772949625
582,26.249563508654262,26.24818679342542,25.466729997284745,25.82510846173392
584,26.249628381520267,26.248258346692353,25.466764981187623,25.825143446337165
586,26.249691974901395,26.248328488781056,25.46679927529152,25.825177741127277
588,26.24975431468266,26.248397248220215,25.466832893748517,25.825211360257185
590,26.24981542633708,26.248464653082635,25.466865850505144,25.825244317673423
592,26.2498753349426,26.248530731002745,25.466898159312166,25.825276627127323
594,26.249934065199966,26.248595509196377,25.46692983373356,25.825308302183146
596,26.24999164144839,26.248659014479074,25.466960887157313,25.825339356228938
598,26.250048087683865,26.248721273285298,25.46699133280464,25.82536980248625
600,26.250103427575652,26.248782311686057,25.467021183739178,25.825399654019122
602,26.25015768448344,26.24884215540891,25.46705045287746,25.825428923744198
604,26.250210881474175,26.24890082985604,25.467079152998224,25.825457624440958
606,26.250263041339338,26.248958360122913,25.467107296753,25.825485768760643
608,26.250314186612115,26.249014771017585,25.46713489667428,25.82551336923666
610,26.25036429333187,26.249070036976548,25.46716193033734,25.825540403441835
612,26.250413400360628,26.24912420048048,25.46718842272179,25.8255668963576
614,26.250461539743753,26.24917729662019,25.467214393739198,25.825592867895807
616,26.25050873063259,26.249229346511072,25.467239853649346,25.82561832831641
618,26.250554991827755,26.249280370883127,25.467264812508972,25.8256432876766
620,26.250600341790744,26.24933039009221,25.467289280177113,25.825667755835298
622,26.25064479865597,26.249379424134247,25.467313266321696,25.825691742460833
624,26.25068838024191,26.24942749265682,25.467336780423636,25.825715257034176
626,26.250731104063618,26.249474614974076,25.467359831783654,25.825738308856103
628,26.25077298734351,26.249520810076945,25.46738242952796,25.825760907053052
630,26.25081404702331,26.249566096648607,25.467404582612915,25.825783060581898
632,26.250854299775654,26.249610493075636,25.467426299832425,25.825804778235977
634,26.250893762016346,26.249654017461523,25.467447589821575,25.825826068651054
636,26.250932449915183,26.249696687640096,25.467468461063902,25.825846940310498
638,26.25097037940799,26.249738521187226,25.467488921896404,25.82586740155176
640,26.251007548924974,26.249779516354636,25.467508977388945,25.825887457445674
642,26.251043983816942,26.249819701113722,25.467528637383737,25.82590711783405
644,26.251079700589628,26.249859093673706,25.46754791002985,25.825926390866186
646,26.251114713545405,26.24989770981125,25.467566802987847,25.825945284202476
648,26.251149036753247,26.249935565047224,25.467585323789592,25.82596380537501
650,26.25118268405862,26.24997267465659,25.467603479843945,25.82598196179299
652,26.25121566909371,26.25000905368023,25.46762127844198,25.82599976074755
654,26.251248005286982,26.250044716935065,25.46763872676223,25.826017209417387
656,26.25127970587306,26.250079679025305,25.46765583187613,25.82603431487371
658,26.251310783903193,26.250113954354276,25.467672600753133,25.82605108408677
660,26.25134125225412,26.250147557133857,25.467689040266407,25.826067523929737
662,26.25137112363933,26.250180501396528,25.467705157198395,25.826083641184823
664,26.251400410617123,26.25021280100583,25.467720958245593,25.826099442548866
666,26.251429125602897,26.250244469667393,25.46773645002378,25.82611493463787
668,26.2514572806935,26.25027552073965,25.467751638989455,25.82613012390874
670,26.25148485764413,26.250305934393566,25.46776651755971,25.826145002777253
672,26.251511890465565,26.25033574795674,25.467781102298034,25.826159587807922
674,26.251538389909513,26.25036497331672,25.467795399004956,25.82617388480162
676,26.25156436654703,26.250393622163585,25.46780941338733,25.826187899464685
678,26.251589830774208,26.250421705997667,25.46782315106219,25.826201637414897
680,26.251614792820362,26.25044923613649,25.46783661756109,25.826215104183802
682,26.25163926275451,26.250476223723865,25.4678498183344,25.82622830522149
684,26.251663250492754,26.250502679737394,25.467862758754507,25.826241245900974
686,26.251686765805573,26.250528614995858,25.467875444121262,25.82625393152182
688,26.251709818325196,26.250554040168765,25.467887879664715,25.826266367314474
690,26.25173241755175,26.250578965782495,25.46790007055023,25.826278558444187
692,26.25175457286224,26.2506034022295,25.467912021881773,25.826290510015042
694,26.25177629351566,26.25062735977548,25.467923738706816,25.826302227074507
696,26.251797588661304,26.250650848568114,25.467935226019733,25.82631371461713
698,26.25181846524987,26.250673876097665,25.467946487502843,25.826324976325623
700,26.251838917480143,26.250696434374674,25.467957519169033,25.826336008212877
702,26.251858965840654,26.250718547364215,25.467968332883345,25.826346822143933
704,26.251878618400212,26.25074022395387,25.46797893304023,25.826357422512956
706,26.25189788310132,26.250761472888655,25.46798932397013,25.826367813650847
708,26.251916767765977,26.25078230277842,25.467999509943127,25.826377999827855
710,26.251935280101463,26.25080272210272,25.468009495171998,25.82638798525676
712,26.251953427705587,26.25082273921788,25.4680192838145,25.82639777409537
714,26.25197121807156,26.250842362361766,25.46802887997768,25.826407370450625
716,26.251988658595394,26.250861599660595,25.46803828772005,25.8264167783816
718,26.252005756579308,26.250880459134635,25.46804751105543,25.82642600190178
720,26.25202251923878,26.250898948704673,25.468056553955364,25.826435044982873
722,26.252038953707086,26.2509170761968,25.46806542035239,25.826443911557817
724,26.25205506704168,26.250934849349903,25.46807411414369,25.8264526055234
726,26.252070866229303,26.250952275820225,25.468082639193483,25.826461130744292
728,26.252086353718198,26.250969358494615,25.468090996152284,25.826469487870554
730,26.252101524255693,26.25098609216826,25.468099180202955,25.826477672085105
732,26.2521163955185,26.25100249569556,25.46810720286925,25.82648569491198
734,26.25213097349109,26.2510185756517,25.46811506736384,25.82649355956437
736,26.252145264058242,26.251034338500915,25.468122776843018,25.826501269197763
738,26.25215927300968,26.251049790599893,25.468130334407135,25.826508826913084
740,26.252173006042938,26.25106493820357,25.468137743103455,25.826516235757595
742,26.252186468768002,26.25107978746729,25.468145005927624,25.826523498727056
744,26.252199666710737,26.25109434445227,25.46815212582527,25.826530618767038
746,26.252212605316174,26.251108615129567,25.46815910569461,25.82653759877587
748,26.252225289953287,26.25112260538316,25.46816594838748,25.826544441605506
750,26.25223772591829,26.251136321015963,25.468172656711715,25.82655115006355
752,26.252249918438054,26.25114976775177,25.46817923343275,25.826557726915667
754,26.252261872673955,26.251162951241724,25.468185681275656,25.82656417488704
756,26.252273593726443,26.251175877066487,25.46819200292674,25.826570496664147
758,26.25228508256322,26.251188546830065,25.468198199663163,25.82657669352409
760,26.25229633923226,26.251200961244592,25.468204272435912,25.826582766417857
762,26.252307374185705,26.251213130998565,25.468210225683777,25.826588719784468
764,26.25231819184461,26.25122506098313,25.4682160617985,25.826594556015607
766,26.252328796553286,26.251236756007813,25.468221783131355,25.82660027746283
768,26.252339192582156,26.25124822080346,25.468227391994162,25.82660588643762
770,26.252349384130696,26.25125946002578,25.468232890660886,25.82661138521439
772,26.25235937532949,26.25127047825771,25.46823828136945,25.826616776030846
774,26.25236917024398,26.251281280013643,25.468243566322883,25.826622061090006
776,26.25237877287617,26.251291869740896,25.468248747691007,25.826627242561926
778,26.25238818716815,26.25130225182494,25.46825382761159,25.82663232258426
780,26.252397417003692,26.251312430590758,25.468258808192275,25.8266373032651
782,26.252406466212676,26.25132241030684,25.468263691512163,25.82664218668333
784,26.25241533857212,26.251332195188013,25.46826847962251,25.82664697489014
786,26.252424037810158,26.251341789398623,25.46827317454955,25.826651669911996
788,26.252432563991135,26.25135119249404,25.468277776000093,25.826656271455136
790,26.252440919112757,26.251360406478796,25.46828228491239,25.826660780458155
792,26.252449109687802,26.25136943906392,25.4682867050945,25.826665200729394
794,26.25245713896146,26.251378293848973,25.468291038286168,25.826669534008204
796,26.252465010120147,26.25138697437029,25.468295286194177,25.82667378200142
798,26.25247272629423,26.251395484103284,25.468299450493703,25.826677946384734
800,26.252480290560072,26.251403826464696,25.468303532829907,25.82668202880285
802,26.25248770594152,26.25141200481488,25.468307534818166,25.826686030871656
804,26.25249497541239,26.251420022459627,25.468311458045775,25.826689954177994
806,26.252502101898187,26.251427882653104,25.468315304072974,25.826693800282328
