"time","tank1.medium.T_degC","tank.medium.T_degC","tank11.medium.T_degC"
522,26.251270365784023,26.25190549580242,25.468589717182965
524,26.25140431895767,26.252026905800733,25.46865532461146
526,26.251535577602738,26.252145873514394,25.468719612095413
528,26.251664266818068,26.252262512355003,25.468782640757183
530,26.251790443883976,26.252376874229128,25.468844438608983
532,26.251914166081235,26.252489011042883,25.468905033662338
534,26.25203549069016,26.25259897470272,25.468964453929345
536,26.252154474992096,26.25270681711487,25.46902272742153
538,26.252271176267243,26.25281259018567,25.469079882150538
540,26.252385552625412,26.252916255927687,25.469135897298372
542,26.252497664412942,26.25301786902645,25.46919080238598
544,26.25260758905671,26.253117499649477,25.469244635344978
546,26.252715370400608,26.25321518752338,25.469297417570772
548,26.252821051338344,26.253310971513486,25.46934916999163
550,26.252924673813766,26.253404889623823,25.469399913067775
552,26.253026278819846,26.253496978996907,25.46944966679081
554,26.253125906400044,26.253587275914413,25.469498450685194
556,26.253223582841258,26.253675804388024,25.469546279538065
558,26.25331934801858,26.25376260052002,25.469593172515317
560,26.25341324098548,26.253847699665414,25.469639148358112
562,26.253505296361766,26.25393113321485,25.469684224178707
564,26.253595547702673,26.25401293159615,25.469728416582768
566,26.253684027499332,26.25409312427354,25.4697717416704
568,26.253770767177855,26.254171739748415,25.46981421503557
570,26.25385579710013,26.25424880555903,25.46985585176634
572,26.253939179891802,26.254324378442504,25.46989668132659
574,26.254020936181576,26.254398477128746,25.469936714397193
576,26.25410109001365,26.254471123439373,25.469975963153217
578,26.254179671454438,26.254542344646268,25.470014442428408
580,26.25425670978467,26.254612167310313,25.470052166674634
582,26.254332233498474,26.25468061728094,25.470089149962348
584,26.254406270304287,26.254747719696468,25.47012540598047
586,26.254478847124517,26.254813498984447,25.470160948035925
588,26.25455001092604,26.254877997582014,25.470195797767644
590,26.25461978057382,26.254941232665544,25.47022996500658
592,26.254688179642187,26.255003225639427,25.47026346150136
594,26.254755234240577,26.255064000181903,25.47029630000742
596,26.254820969856212,26.255123579406757,25.47032849296744
598,26.2548854113532,26.25518198586343,25.470360052510898
600,26.2549485829731,26.255239241537254,25.47039099045361
602,26.25501050833492,26.255295367849214,25.47042131829852
604,26.25507122599396,26.255350399496876,25.470451054950615
606,26.255130752314074,26.25540435142642,25.470480208305787
608,26.255189108954312,26.255457243284184,25.47050878888166
610,26.255246318686716,26.255509095696482,25.470536807742917
612,26.25530240377583,26.25555992882704,25.470564275697996
614,26.255357385977902,26.255609762377446,25.470591203298852
616,26.25541128654112,26.25565861558715,25.470617600841308
618,26.25546412620605,26.255706507233583,25.47064347836448
620,26.255515932684773,26.255753462531118,25.47066885076498
622,26.25556672230522,26.2557994961997,25.470693725247145
624,26.25561651452307,26.255844625849875,25.470718111244366
626,26.255665328795146,26.25588886909992,25.470742018281783
628,26.2557131841225,26.255932243154177,25.470765455663866
630,26.255760099050292,26.255974764802943,25.470788432474308
632,26.25580609166815,26.256016450422123,25.47081095757602
634,26.25585117960958,26.256057315973237,25.470833039611136
636,26.25589539142328,26.25609738759414,25.470854692401815
638,26.25593873796521,26.25613667495537,25.470875921362733
640,26.25598123625531,26.256175193477645,25.47089673483157
642,26.256022903182668,26.256212958471167,25.470917141079838
644,26.256063755255298,26.256249984901103,25.47093714819374
646,26.25610380860013,26.256286287387923,25.470956764074174
648,26.256143078963248,26.25632188020853,25.470975996437176
650,26.256181581709768,26.256356777294457,25.470994852813135
652,26.25621933182407,26.256390992233207,25.471013340547472
654,26.256256343909115,26.25642453826805,25.47103146680041
656,26.256292632187467,26.25645742829755,25.471049238546755
658,26.25632821050027,26.256489674875695,25.47106666257656
660,26.256363092308163,26.256521290212447,25.47108374549424
662,26.256397290690245,26.256552286173076,25.471100493719348
664,26.256430818345223,26.256582674278604,25.471116913485673
666,26.25646368877932,26.25661246676026,25.471133011413315
668,26.256495933687177,26.256641691985408,25.471148802853634
670,26.25652754961817,26.256670347123702,25.471164286279475
